new_route_id,new_path,current_category_ids,current_paths,mapping_action,notes,status
table_games_cards,/table-games/cards,73,/games/cards/,MOVE_AND_REDIRECT,Move below Table Games,pending_approval
table_games_board_games,/table-games/board-games,62,/games/board-games/,MOVE_AND_REDIRECT,Move below Table Games,pending_approval
table_games_dice,/table-games/dice,74,/games/dice/,MOVE_AND_REDIRECT,Move below Table Games,pending_approval
table_games_sports,/table-games/sports-backyard-games,83|60,/games/sports/|/games/misc-games/,CONSOLIDATE_AND_REVIEW,Jordan combines sports and backyard games; misc product membership requires review,pending_catalog_cleanup
shuffleboard,/shuffleboard,109,/games/shuffleboard-tables/,PROMOTE_TO_ROOT,New root represents the shuffleboard family,pending_approval
shuffleboard_tables,/shuffleboard/shuffleboard-tables,109|169|170,/games/shuffleboard-tables/|/games/shuffleboard-tables/quick-ship-special-order-tables/|/games/shuffleboard-tables/custom-american-made-tables/,CONSOLIDATE,Delivery and custom children become filters or approved curated pages,pending_approval
shuffleboard_powder,/shuffleboard/shuffleboard-powder,61,/games/game-table-accessories/,SPLIT_BY_PRODUCT,No dedicated current category,pending_catalog_cleanup
shuffleboard_accessories,/shuffleboard/shuffleboard-accessories,61,/games/game-table-accessories/,SPLIT_BY_PRODUCT,No dedicated current category,pending_catalog_cleanup
furniture,/furniture,114,/billiards/billiard-table-furniture/,PROMOTE_TO_ROOT,Jordan creates a top-level Furniture family,pending_catalog_cleanup
furniture_chairs,/furniture/chairs,,,CREATE_OR_VIRTUAL,No dedicated current category,pending_catalog_cleanup
furniture_benches,/furniture/benches,113,/billiards/billiard-table-furniture/dining-bench/,RENAME_AND_REDIRECT,Review whether all benches belong here,pending_catalog_cleanup
furniture_dining_tables,/furniture/dining-tables,112,/billiards/billiard-table-furniture/table-top/,REBUILD_CATEGORY,Current Table Top category is not equivalent to Dining Tables,pending_catalog_cleanup
brands,/brands,,,DERIVE_FROM_BRANDS,Build from 72 BigCommerce brand records; 14 currently have no products,pending_approval
commercial,/commercial,126,/commercial/,REUSE_ROOT,Current root has no direct products,pending_approval
commercial_pool_tables,/commercial/coin-operated-pool-tables,127,/commercial/coin-operated-pool-tables/,REUSE,Existing category aligns,pending_approval
commercial_foosball,/commercial/coin-operated-foosball-tables,129,/commercial/coin-operated-foosball-tables/,REUSE,Existing category aligns,pending_approval
commercial_air_hockey,/commercial/coin-operated-air-hockey-tables,128,/commercial/coin-operated-air-hockey-tables/,REUSE_WITH_LABEL_CHANGE,Current label says Commercial Air Hockey Tables,pending_approval
commercial_arcade,/commercial/arcade-games,130,/commercial/coin-operated-jet-pong/,EXPAND_OR_REBUILD,Jet-Pong may be one Arcade Games product rather than the category source,pending_catalog_cleanup
resources,/resources,,,MANUAL_CONTENT,No matching BigCommerce category; editorial content source remains to be chosen,pending_business_decision
resources_articles,/resources/articles,,,MANUAL_CONTENT,Publish only when approved article content exists,pending_business_decision
sale,/sale,173,/sale/,REUSE_COLLECTION,Display label changes to On Sale if approved,pending_approval
new_arrivals,/new-arrivals,178,/new-arrivals/,REUSE_COLLECTION,Existing collection aligns,pending_approval
made_in_canada,/made-in-canada,176,/made-in-canada/,REUSE_COLLECTION,Existing collection aligns,pending_approval
