route_id,parent_route_id,source,label,canonical_path,page_type,navigation,indexability,content_shape,product_title_shape,launch_phase,status
bbq_sauces_spices,bbq_cooking,JORDAN,Sauces & Spices,/bbq-cooking/sauces-spices,PLP,mega_menu,conditional,C1,B_UNSIZED,V1,pending_approval
bbq_wood_pellets,bbq_cooking,JORDAN,Wood Pellets,/bbq-cooking/wood-pellets,PLP,mega_menu,conditional,C1,B_UNSIZED,V1,pending_approval
bbq_food_thermometers,bbq_cooking,JORDAN,Food Thermometers,/bbq-cooking/food-thermometers,PLP,mega_menu,conditional,C1,B_UNSIZED,V1,pending_approval
bbq_cookware,bbq_cooking,JORDAN,BBQ Cookware,/bbq-cooking/bbq-cookware,PLP,mega_menu,conditional,C1,B_UNSIZED,V1,pending_approval
bbq_maintenance,bbq_cooking,JORDAN,BBQ Maintenance,/bbq-cooking/bbq-maintenance,PLP,mega_menu,conditional,C1,B_UNSIZED,V1,pending_approval
foosball,,JORDAN,Foosball,/foosball,HUB,header,conditional,C1,NA,V1,pending_approval
foosball_tables,foosball,JORDAN,Foosball Tables,/foosball/foosball-tables,PLP,mega_menu,conditional,C1,A_SIZED,V1,pending_approval
foosball_accessories,foosball,JORDAN,Foosball Accessories,/foosball/foosball-accessories,PLP,mega_menu,conditional,C1,B_UNSIZED,V1,pending_approval
darts,,JORDAN,Darts,/darts,HUB,header,conditional,C1,NA,V1,pending_approval
darts_dartboards,darts,JORDAN,Dartboards,/darts/dartboards,PLP,mega_menu,conditional,C1,B_UNSIZED,V1,approved
darts_darts,darts,JORDAN,Darts,/darts/darts,PLP,mega_menu,conditional,C1,B_UNSIZED,V1,pending_approval
darts_flights,darts,JORDAN,Dart Flights,/darts/dart-flights,PLP,mega_menu,conditional,C1,B_UNSIZED,V1,pending_approval
darts_shafts,darts,JORDAN,Dart Shafts,/darts/dart-shafts,PLP,mega_menu,conditional,C1,B_UNSIZED,V1,pending_approval
darts_cases,darts,JORDAN,Dart Cases,/darts/dart-cases,PLP,mega_menu,conditional,C1,B_UNSIZED,V1,pending_approval
darts_tips,darts,JORDAN,Dart Tips,/darts/dart-tips,PLP,mega_menu,conditional,C1,B_UNSIZED,V1,pending_approval
darts_accessories,darts,JORDAN,Dart Accessories,/darts/dart-accessories,PLP,mega_menu,conditional,C1,B_UNSIZED,V1,pending_approval
table_games,,JORDAN,Table Games,/table-games,HUB,header,conditional,C1,NA,V1,approved
table_games_air_hockey_tables,table_games,JORDAN,Air Hockey Tables,/table-games/air-hockey-tables,PLP,mega_menu,conditional,C1,A_SIZED,V1,pending_approval
table_games_air_hockey_accessories,table_games,JORDAN,Air Hockey Accessories,/table-games/air-hockey-accessories,PLP,mega_menu,conditional,C1,B_UNSIZED,V1,pending_approval
table_games_poker_tables,table_games,JORDAN,Poker Tables,/table-games/poker-tables,PLP,mega_menu,conditional,C1,A_SIZED,V1,pending_approval
table_games_poker_chips,table_games,JORDAN,Poker Chips,/table-games/poker-chips,PLP,mega_menu,conditional,C1,B_UNSIZED,V1,pending_approval
table_games_poker_accessories,table_games,JORDAN,Poker Accessories,/table-games/poker-accessories,PLP,mega_menu,conditional,C1,B_UNSIZED,V1,pending_approval
table_games_cards,table_games,JORDAN,Cards,/table-games/cards,PLP,mega_menu,conditional,C1,B_UNSIZED,V1,pending_approval
table_games_board_games,table_games,JORDAN,Board Games,/table-games/board-games,PLP,mega_menu,conditional,C1,B_UNSIZED,V1,pending_approval
table_games_dice,table_games,JORDAN,Dice,/table-games/dice,PLP,mega_menu,conditional,C1,B_UNSIZED,V1,pending_approval
table_games_sports,table_games,JORDAN,Sports & Backyard Games,/table-games/sports-backyard-games,PLP,mega_menu,conditional,C1,B_UNSIZED,V1,pending_approval
shuffleboard,,JORDAN,Shuffleboard,/shuffleboard,HUB,header,conditional,C1,NA,V1,pending_approval
shuffleboard_tables,shuffleboard,JORDAN,Shuffleboard Tables,/shuffleboard/shuffleboard-tables,PLP,mega_menu,conditional,C1,A_SIZED,V1,pending_approval
shuffleboard_powder,shuffleboard,JORDAN,Shuffleboard Powder,/shuffleboard/shuffleboard-powder,PLP,mega_menu,conditional,C1,B_UNSIZED,V1,pending_approval
shuffleboard_accessories,shuffleboard,JORDAN,Shuffleboard Accessories,/shuffleboard/shuffleboard-accessories,PLP,mega_menu,conditional,C1,B_UNSIZED,V1,pending_approval
furniture,,JORDAN,Furniture,/furniture,HUB,header,conditional,C1,NA,V1,pending_approval
furniture_chairs,furniture,JORDAN,Chairs,/furniture/chairs,PLP,mega_menu,conditional,C1,B_UNSIZED,V1,pending_approval
furniture_benches,furniture,JORDAN,Benches,/furniture/benches,PLP,mega_menu,conditional,C1,B_UNSIZED,V1,pending_approval
furniture_dining_tables,furniture,JORDAN,Dining Tables,/furniture/dining-tables,PLP,mega_menu,conditional,C1,A_SIZED,V1,pending_approval
brands,,JORDAN,Brand,/brands,BRAND_INDEX,footer,conditional,MANUAL,NA,V1,approved
commercial,,JORDAN,Commercial,/commercial,HUB,header,conditional,C1,NA,V1,pending_approval
commercial_pool_tables,commercial,JORDAN,Coin-Operated Pool Tables,/commercial/coin-operated-pool-tables,PLP,mega_menu,conditional,C1,A_SIZED,V1,pending_approval
commercial_foosball,commercial,JORDAN,Coin-Operated Foosball Tables,/commercial/coin-operated-foosball-tables,PLP,mega_menu,conditional,C1,A_SIZED,V1,pending_approval
commercial_air_hockey,commercial,JORDAN,Coin-Operated Air Hockey Tables,/commercial/coin-operated-air-hockey-tables,PLP,mega_menu,conditional,C1,A_SIZED,V1,pending_approval
commercial_arcade,commercial,JORDAN,Arcade Games,/commercial/arcade-games,PLP,mega_menu,conditional,C1,B_UNSIZED,V1,pending_approval
resources,,JORDAN,Resources,/resources,EDITORIAL_HUB,footer,conditional,MANUAL,NA,V1,pending_approval
resources_articles,resources,JORDAN,Articles,/resources/articles,EDITORIAL_LIST,footer,conditional,MANUAL,NA,V1,pending_approval
sale,,JORDAN,On Sale,/sale,COLLECTION,header,conditional,COLLECTION,VARIES,V1,approved
new_arrivals,,JORDAN,New Arrivals,/new-arrivals,COLLECTION,header,conditional,COLLECTION,VARIES,V1,pending_approval
made_in_canada,,JORDAN,Made in Canada,/made-in-canada,COLLECTION,header,conditional,COLLECTION,VARIES,V1,pending_approval
